Player,#,Pos,HT,WT,Age,Exp,College,Team,Division,Popularity
"
Daniel Archibong",61,DL,6-6,307,24,1,Temple,Steelers,,
"
Genard Avery",,LB,6-0,250,26,5,Memphis,Steelers,,
"
Chris Boswell",9,K,6-2,185,31,8,Rice,Steelers,,
"
Devin Bush",55,LB,5-11,234,23,4,Michigan,Steelers,,
"
Rico Bussey",84,WR,6-2,190,24,1,Hawaii,Steelers,,
"
Chase Claypool",11,WR,6-4,238,23,3,Notre Dame,Steelers,,
"
Mason Cole",,OL,6-5,298,26,5,Michigan,Steelers,,
"
James Daniels",78,OL,6-4,327,24,5,Iowa,Steelers,,
"
Carlos Davis",73,DT,6-2,320,25,3,Nebraska,Steelers,,
"
Khalil Davis",68,DT,6-1,308,25,3,Nebraska,Steelers,,
"
Kevin Dotson",69,OL,6-4,321,25,3,Louisiana,Steelers,,
"
Trey Edmunds",33,RB,6-2,223,27,4,Maryland,Steelers,,
"
Minkah Fitzpatrick",39,S,6-1,207,25,5,Alabama,Steelers,,
"
Pat Freiermuth",88,TE,6-5,258,23,2,Penn State,Steelers,,
"
Zach Gentry",81,TE,6-8,265,25,4,Michigan,Steelers,,
"
Ulysees Gilbert III",54,ILB,6-0,230,24,4,Akron,Steelers,,
"
Nate Gilliam",62,G,6-4,310,24,1,Wake Forest,Steelers,,
"
Chaz Green",74,OT,6-5,318,30,5,Florida,Steelers,,
"
Kendrick Green",53,C,6-4,315,23,2,Illinois,Steelers,,
"
Joe Haeg",71,OT,6-6,298,29,7,North Dakota State,Steelers,,
"
Najee Harris",22,RB,6-1,232,24,2,Alabama,Steelers,,
"
Pressley Harvin III",6,P,6-0,255,23,2,Georgia Tech,Steelers,,
"
Dwayne Haskins",3,QB,6-4,230,24,4,Ohio State,Steelers,,
"
Cameron Heyward",97,DT,6-5,295,32,12,Ohio State,Steelers,,
"
Alex Highsmith",56,LB,6-4,242,24,3,Charlotte,Steelers,,
"
Myles Jack",,LB,6-1,255,26,7,UCLA,Steelers,,
"
Buddy Johnson",45,LB,6-2,240,23,2,Texas A&M,Steelers,,
"
Diontae Johnson",18,WR,5-10,183,25,4,Toledo,Steelers,,
"
Isaiah Johnson",30,CB,6-2,210,26,3,Houston,Steelers,,
"
Karl Joseph",8,S,5-10,200,28,6,West Virginia,Steelers,,
"
Miles Killebrew",28,S,6-2,222,28,7,Southern Utah State,Steelers,,
"
Christian Kuntz",46,LS,6-1,245,28,2,Duquesne,Steelers,,
"
Justin Layne",31,CB,6-2,192,24,4,Michigan State,Steelers,,
"
John Leglue",77,OT,6-7,310,25,2,Tulane,Steelers,,
"
Isaiahh Loudermilk",92,DE,6-7,293,24,2,Wisconsin,Steelers,,
"
Arthur Maulet",35,CB,5-10,190,28,6,Memphis,Steelers,,
"
Anthony McFarland Jr.",26,RB,5-8,193,24,3,Maryland,Steelers,,
"
Anthony Miller",17,WR,5-11,199,27,4,Memphis,Steelers,,
"
Henry Mondeaux",99,DE,6-4,280,26,3,Oregon,Steelers,,
"
Dan Moore Jr.",65,OT,6-5,315,23,2,Texas A&M,Steelers,,
"
Cameron Nizialek",16,P,6-2,200,27,2,Georgia,Steelers,,
"
Tre Norwood",21,DB,6-0,194,22,2,Oklahoma,Steelers,,
"
Chukwuma Okorafor",76,OL,6-6,320,24,5,Western Michigan,Steelers,,
"
Gunner Olszewski",,WR,6-0,190,25,4,Bemidji State University,Steelers,,
"
James Pierre",42,CB,6-2,185,25,3,Florida Atlantic,Steelers,,
"
Malcolm Pridgeon",64,G,6-7,310,27,1,Ohio State,Steelers,,
"
Kevin Rader",87,TE,6-4,250,26,2,Youngstown State,Steelers,,
"
Mason Rudolph",2,QB,6-5,235,26,5,Oklahoma State,Steelers,,
"
Tegray Scales",30,LB,6-0,227,25,1,Indiana,Steelers,,
"
Delontae Scott",50,LB,6-5,246,25,1,SMU,Steelers,,
"
John Simon",38,LB,6-2,260,31,10,Ohio State,Steelers,,
"
Steven Sims",82,WR,5-10,176,25,3,Kansas,Steelers,,
"
Sam Sloman",4,K,5-8,205,24,2,Miami (Ohio),Steelers,,
"
Benny Snell Jr.",24,RB,5-10,224,24,4,Kentucky,Steelers,,
"
Linden Stephens",40,DB,6-0,193,27,2,Cincinnati,Steelers,,
"
Jace Sternberger",89,TE,6-4,251,25,3,Texas A&M,Steelers,,
"
Donovan Stiner",37,S,6-2,210,23,1,Florida,Steelers,,
"
Rex Sunahara",60,LS,6-6,242,25,1,West Virginia,Steelers,,
"
Cameron Sutton",20,CB,5-11,188,27,6,Tennessee,Steelers,,
"
Mitch Trubisky",10,QB,6-2,220,27,6,North Carolina,Steelers,,
"
Stephon Tuitt",91,DE,6-6,303,28,9,Notre Dame,Steelers,,
"
Derrek Tuszka",48,OLB,6-5,246,24,3,North Dakota State,Steelers,,
"
Tyler Vaughns",80,WR,6-2,184,24,1,USC,Steelers,,
"
Levi Wallace",,CB,6-0,186,26,5,Alabama,Steelers,,
"
Derek Watt",44,FB,6-2,234,29,7,Wisconsin,Steelers,,
"
T.J. Watt",90,LB,6-4,252,27,6,Wisconsin,Steelers,,
"
Cody White",15,WR,6-3,215,23,3,Michigan State,Steelers,,
"
Ahkello Witherspoon",25,CB,6-2,195,27,6,Colorado,Steelers,,
"
Chris Wormley",95,DL,6-5,300,28,6,Michigan,Steelers,,
"
Hakeem Adeniji",77,G,6-4,302,24,3,Kansas,Bengals,,
"
Brandon Allen",8,QB,6-2,209,29,6,Arkansas,Bengals,,
"
Eli Apple",20,CB,6-1,199,26,7,Ohio State,Bengals,,
"
Chidobe Awuzie",22,CB,6-0,202,26,6,Colorado,Bengals,,
"
Joe Bachie",49,LB,6-2,235,24,2,Michigan State,Bengals,,
"
Markus Bailey",51,LB,6-0,235,25,3,Purdue,Bengals,,
"
Jessie Bates III",30,S,6-1,200,25,5,Wake Forest,Bengals,,
"
Vonn Bell",24,S,5-11,205,27,7,Ohio State,Bengals,,
"
Tyler Boyd",83,WR,6-2,203,27,7,Pittsburgh,Bengals,,
"
John Brannon",39,CB,6-0,190,24,1,Western Carolina,Bengals,,
"
Jake Browning",6,QB,6-2,209,26,1,Washington,Bengals,,
"
Joe Burrow",9,QB,6-4,221,25,3,LSU,Bengals,,
"
Alex Cappa",,G,6-6,305,27,5,Humboldt State,Bengals,,
"
Jackson Carman",79,G,6-5,330,22,2,Clemson,Bengals,,
"
Ja'Marr Chase",1,WR,6-0,201,22,2,LSU,Bengals,,
"
Drue Chrisman",4,P,6-2,222,24,1,Ohio State,Bengals,,
"
La'el Collins",,OT,6-4,315,28,8,LSU,Bengals,,
"
Jalen Davis",35,CB,5-10,185,26,3,Utah State,Bengals,,
"
Akeem Davis-Gaither",59,LB,6-2,215,24,3,Appalachian State,Bengals,,
"
Nick Eubanks",,TE,6-5,256,25,1,Michigan,Bengals,,
"
Chris Evans",25,HB,5-11,211,24,2,Michigan,Bengals,,
"
Lamont Gaillard",61,C,6-3,305,26,3,Georgia,Bengals,,
"
Clark Harris",46,LS,6-5,250,37,14,Rutgers,Bengals,,
"
Trayvon Henderson",41,S,6-0,205,26,2,Hawaii,Bengals,,
"
Trey Hendrickson",91,DE,6-4,270,27,6,Florida Atlantic,Bengals,,
"
Tee Higgins",85,WR,6-4,215,23,3,Clemson,Bengals,,
"
B.J. Hill",92,DT,6-3,303,26,5,N.C. State,Bengals,,
"
Trey Hill",63,C,6-3,320,22,2,Georgia,Bengals,,
"
Mike Hilton",21,CB,5-9,184,28,6,Mississippi,Bengals,,
"
Elijah Holyfield",36,HB,5-10,215,24,1,Georgia,Bengals,,
"
Sam Hubbard",94,DE,6-5,265,26,5,Ohio State,Bengals,,
"
Wyatt Hubert",56,DE,6-3,258,23,1,Kansas State,Bengals,,
"
Hayden Hurst",,TE,6-4,245,28,5,South Carolina,Bengals,,
"
Trenton Irwin",16,WR,6-2,207,26,2,Stanford,Bengals,,
"
Clay Johnston",44,LB,6-1,232,25,2,Baylor,Bengals,,
"
Keandre Jones",47,LB,6-3,220,24,1,Maryland,Bengals,,
"
Khalid Kareem",90,DE,6-4,268,23,3,Notre Dame,Bengals,,
"
Ted Karras",,C,6-4,305,29,7,Illinois,Bengals,,
"
Evan McPherson",2,K,5-11,185,22,2,Florida,Bengals,,
"
Joe Mixon",28,HB,6-1,220,25,6,Oklahoma,Bengals,,
"
Stanley Morgan",17,WR,6-0,205,25,4,Nebraska,Bengals,,
"
Thaddeus Moss",81,TE,6-3,249,23,2,LSU,Bengals,,
"
Joseph Ossai",58,DE,6-4,256,22,2,Texas,Bengals,,
"
Samaje Perine",34,HB,5-11,240,26,6,Oklahoma,Bengals,,
"
Germaine Pratt",57,LB,6-2,245,25,4,NC State,Bengals,,
"
Isaiah Prince",75,OT,6-7,305,24,3,Ohio State,Bengals,,
"
D.J. Reader",98,DT,6-3,347,27,7,Clemson,Bengals,,
"
Cam Sample",96,EDGE,6-3,274,22,2,Tulane,Bengals,,
"
Drew Sample",89,TE,6-4,258,25,4,Washington,Bengals,,
"
Tyler Shelvin",99,DT,6-3,346,23,2,LSU,Bengals,,
"
D'Ante Smith",70,G,6-5,294,23,2,East Carolina,Bengals,,
"
Noah Spence",52,DE,6-2,251,28,5,Eastern Kentucky,Bengals,,
"
Trent Taylor",11,WR,5-8,181,27,5,Louisiana Tech,Bengals,,
"
Michael Thomas",31,S,5-11,182,32,9,Stanford,Bengals,,
"
Mike Thomas",80,WR,6-1,189,27,7,Southern Mississippi,Bengals,,
"
Josh Tupou",68,DT,6-3,345,27,5,Colorado,Bengals,,
"
Scotty Washington",82,TE,6-5,247,24,1,Wake Forest,Bengals,,
"
Mitchell Wilcox",84,TE,6-4,247,25,2,South Florida,Bengals,,
"
Pooka Williams Jr.",12,WR,5-9,175,22,1,Kansas,Bengals,,
"
Jonah Williams",73,OT,6-4,305,24,4,Alabama,Bengals,,
"
Trayveon Williams",32,HB,5-8,206,24,4,Texas A&M,Bengals,,
"
Brandon Wilson",40,S,5-10,200,27,6,Houston,Bengals,,
"
Logan Wilson",55,LB,6-2,241,25,3,Wyoming,Bengals,,
"
Mark Andrews",89,TE,6-5,256,26,5,Oklahoma,Ravens,,
"
Rashod Bateman",7,WR,6-1,193,22,2,Minnesota,Ravens,,
"
Tyus Bowser",54,OLB,6-3,242,26,6,Houston,Ravens,,
"
Miles Boykin",80,WR,6-4,220,25,4,Notre Dame,Ravens,,
"
Nick Boyle",86,TE,6-4,270,29,8,Delaware,Ravens,,
"
Marquise Brown",5,WR,5-9,180,24,4,Oklahoma,Ravens,,
"
Chuck Clark",36,S,6-0,205,26,6,Virginia Tech,Ravens,,
"
Ben Cleveland",66,G,6-6,357,23,2,Georgia,Ravens,,
"
Trystan Colon",63,C,6-3,313,24,3,Missouri,Ravens,,
"
Aaron Crawford",97,DT,6-1,315,24,2,North Carolina,Ravens,,
"
J.K. Dobbins",27,RB,5-10,212,23,3,Ohio State,Ravens,,
"
Devin Duvernay",13,WR,5-11,210,24,3,Texas,Ravens,,
"
Gus Edwards",35,RB,6-1,238,27,5,Rutgers,Ravens,,
"
Jaylon Ferguson",45,OLB,6-5,275,26,4,Louisiana Tech,Ravens,,
"
Malik Harrison",40,LB,6-3,247,24,3,Ohio State,Ravens,,
"
Daelin Hayes",59,LB,6-3,253,23,2,Notre Dame,Ravens,,
"
Justice Hill",43,RB,5-10,200,24,4,Oklahoma State,Ravens,,
"
Marlon Humphrey",44,CB,6-0,197,25,6,Alabama,Ravens,,
"
Tyler Huntley",2,QB,6-1,196,24,2,Utah,Ravens,,
"
Lamar Jackson",8,QB,6-2,212,25,5,Louisville,Ravens,,
"
Robert Jackson",17,CB,6-1,202,28,3,UNLV,Ravens,,
"
Ja'Wuan James",76,OT,6-6,315,29,7,Tennessee,Ravens,,
"
Tony Jefferson",31,S,5-11,212,30,8,Oklahoma,Ravens,,
"
Jaryd Jones-Smith",61,OT,6-7,320,26,1,Pittsburgh,Ravens,,
"
Xavier Kelly",91,DT,6-6,306,24,2,Arkansas,Ravens,,
"
Sam Koch",4,P,6-1,222,39,17,Nebraska,Ravens,,
"
Isaiah Mack",94,NT,6-1,299,26,3,Tennessee-Chattanooga,Ravens,,
"
Justin Madubuike",92,DT,6-3,293,24,3,Texas A&M,Ravens,,
"
Iman Marshall",N/A,CB,6-1,210,25,4,USC,Ravens,,
"
Ben Mason",38,TE,6-3,256,22,1,Michigan,Ravens,,
"
Nate McCrary",47,RB,6-0,213,23,1,Saginaw Valley State,Ravens,,
"
Kahlil McKenzie",69,G/DT,6-3,320,25,3,Tennessee,Ravens,,
"
Patrick Mekari",65,G/C,6-4,308,24,4,Cal-Berkeley,Ravens,,
"
Jaylon Moore",10,WR,5-11,191,24,1,Tennessee-Martin,Ravens,,
"
Nick Moore",46,LS,6-2,248,29,2,Georgia,Ravens,,
"
Morgan Moses",76,OT,6-6,318,31,9,Virginia,Ravens,,
"
Jimmy Murray",67,C,6-5,304,26,3,Holy Cross,Ravens,,
"
Josh Oliver",84,TE,6-5,249,25,4,San Jose State,Ravens,,
"
Odafe Oweh",99,OLB,6-5,251,23,2,Penn State,Ravens,,
"
Marcus Peters",24,CB,6-0,195,29,8,Washington,Ravens,,
"
Tyre Phillips",74,G,6-5,344,25,3,Mississippi State,Ravens,,
"
Michael Pierce",78,DE,6-0,339,29,6,Samford,Ravens,,
"
Tony Poljan",83,TE,6-7,251,24,1,Virginia,Ravens,,
"
Ben Powers",72,G,6-4,310,25,4,Oklahoma,Ravens,,
"
James Proche II",11,WR,5-11,193,25,3,Southern Methodist,Ravens,,
"
Patrick Queen",6,LB,6-0,232,22,3,LSU,Ravens,,
"
Patrick Ricard",42,FB/DL,6-3,300,27,6,Maine,Ravens,,
"
Kevon Seymour",38,CB,6-0,185,28,5,USC,Ravens,,
"
Ronnie Stanley",79,T,6-6,315,28,7,Notre Dame,Ravens,,
"
Brandon Stephens",21,DB,6-1,215,24,2,SMU,Ravens,,
"
Geno Stone",26,S,5-10,209,22,3,Iowa,Ravens,,
"
Kevin Toliver II",18,CB,6-2,192,26,4,LSU,Ravens,,
"
Justin Tucker",9,K,6-1,183,32,11,Texas,Ravens,,
"
Binjimen Victor",81,WR,6-4,199,25,1,Ohio State,Ravens,,
"
Tylan Wallace",16,WR,5-11,195,22,2,Oklahoma State,Ravens,,
"
Ar'Darius Washington",N/A,S,5-8,176,22,2,TCU,Ravens,,
"
Broderick Washington",96,DT,6-3,304,25,3,Texas Tech,Ravens,,
"
Kristian Welch",57,ILB,6-3,240,23,3,Iowa,Ravens,,
"
Marcus Williams",43,FS,6-0,195,25,6,Utah,Ravens,,
"
Ty'Son Williams",34,RB,6-0,220,25,2,Brigham Young,Ravens,,
"
Derek Wolfe",95,DE,6-5,285,32,11,Cincinnati,Ravens,,
"
Kevin Zeitler",70,G,6-4,315,32,11,Wisconsin,Ravens,,
"
Khalil Dorsey",N/A,CB,5-9,181,24,3,Northern Arizona,Ravens,,
"
Otaro Alaka",51,ILB,6-3,239,25,4,Texas A&M,Ravens,,
"
Josh Bynes",56,LB,6-1,240,32,11,Auburn,Ravens,,
"
Calais Campbell",93,DT,6-8,300,35,15,Miami (Fla.),Ravens,,
"
DeShon Elliott",32,S,6-1,210,24,5,Texas,Ravens,,
"
L.J. Fort",3,LB,6-0,232,32,8,Northern Iowa,Ravens,,
"
Devonta Freeman",33,RB,5-8,206,30,9,Florida State,Ravens,,
"
Justin Houston",50,OLB,6-3,270,33,12,Georgia,Ravens,,
"
Pernell McPhee",90,LB,6-3,265,33,12,Mississippi State,Ravens,,
"
Latavius Murray",28,RB,6-3,230,32,10,UCF,Ravens,,
"
David Sharpe",62,OT,6-6,343,26,5,Florida,Ravens,,
"
Jimmy Smith",22,CB,6-2,210,33,12,Colorado,Ravens,,
"
Sammy Watkins",14,WR,6-1,211,28,9,Clemson,Ravens,,
"
Brandon Williams",98,DT,6-1,336,33,10,Missouri Southern State,Ravens,,
"
Salvon Ahmed",26,RB,5-11,197,23,3,Washington,Dolphins,,
"
Terron Armstead",,T,6-5,304,30,10,University of Arkansas at Pine Bluff,Dolphins,,
"
Jerome Baker",55,LB,6-2,225,25,5,Ohio State,Dolphins,,
"
Lynn Bowden Jr.",,WR,5-11,197,24,3,Kentucky,Dolphins,,
"
Teddy Bridgewater",,QB,6-2,215,29,9,Louisville,Dolphins,,
"
Adam Butler",70,DL,6-5,295,28,6,Vanderbilt,Dolphins,,
"
Elijah Campbell",22,DB,5-11,190,26,2,Northern Iowa,Dolphins,,
"
Cethan Carter",82,TE,6-3,248,26,6,Nebraska,Dolphins,,
"
Larnel Coleman",79,T,6-6,313,23,2,UMass Amherst,Dolphins,,
"
Cody Core",19,WR,6-3,205,27,6,Mississippi,Dolphins,,
"
River Cracraft",,WR,6-0,198,27,4,Washington State,Dolphins,,
"
Keion Crossen",,DB,5-10,185,25,5,Western Carolina,Dolphins,,
"
Javaris Davis",38,CB,5-8,183,25,1,Auburn,Dolphins,,
"
Raekwon Davis",98,DT,6-7,330,24,3,Alabama,Dolphins,,
"
DeVonte Dedmon",,WR,5-10,200,26,1,William & Mary,Dolphins,,
"
Michael Deiter",63,C/G,6-6,315,25,4,Wisconsin,Dolphins,,
"
Gerrid Doaks",23,RB,5-11,228,23,1,Cincinnati,Dolphins,,
"
Chase Edmonds",,RB,5-9,210,26,5,Fordham,Dolphins,,
"
Sam Eguavoen",49,LB,6-1,236,29,4,Texas Tech,Dolphins,,
"
Liam Eichenberg",74,T,6-5,310,24,2,Notre Dame,Dolphins,,
"
Clayton Fejedelem",42,S,6-1,205,28,7,Illinois,Dolphins,,
"
Blake Ferguson",44,LS,6-3,237,24,3,LSU,Dolphins,,
"
Myles Gaskin",37,RB,5-10,194,25,4,Washington,Dolphins,,
"
Mike Gesicki",88,TE,6-6,247,26,5,Penn State,Dolphins,,
"
Daeshon Hall",,DE,6-5,265,26,4,Texas A&M,Dolphins,,
"
Tyreek Hill",,WR,5-10,185,28,7,West Alabama,Dolphins,,
"
Darius Hodge",41,LB,6-1,245,23,2,Marshall,Dolphins,,
"
Jevon Holland",8,S,6-1,196,22,2,Oregon,Dolphins,,
"
Xavien Howard",25,CB,6-1,203,28,7,Baylor,Dolphins,,
"
Robert Hunt",68,G/T,6-6,327,25,3,Louisiana-Lafayette,Dolphins,,
"
Noah Igbinoghene",9,CB,5-11,197,22,3,Auburn,Dolphins,,
"
Alec Ingold",,FB,6-1,240,25,4,Wisconsin,Dolphins,,
"
Austin Jackson",73,G/T,6-5,325,22,3,USC,Dolphins,,
"
John Jenkins",90,DT,6-3,335,32,10,Georgia,Dolphins,,
"
Brandon Jones",29,S,6-1,191,24,3,Texas,Dolphins,,
"
Byron Jones",24,CB,6-1,194,29,8,Connecticut,Dolphins,,
"
Robert Jones",65,G,6-4,322,23,2,Middle Tennessee State,Dolphins,,
"
Solomon Kindley",66,G,6-4,335,24,3,Georgia,Dolphins,,
"
Greg Little",75,T,6-5,310,24,4,Mississippi,Dolphins,,
"
Hunter Long",84,TE,6-5,253,23,2,Boston College,Dolphins,,
"
John Lovett",,FB,6-2,234,25,2,Princeton,Dolphins,,
"
Raheem Mostert",,RB,5-10,205,30,8,Purdue,Dolphins,,
"
Calvin Munson",50,LB,6-1,235,27,4,San Diego State,Dolphins,,
"
Nik Needham",40,CB,6-1,196,25,4,UTEP,Dolphins,,
"
Emmanuel Ogbah",91,DE,6-4,275,28,7,Oklahoma State,Dolphins,,
"
Adam Pankey",78,T,6-5,313,28,4,West Virginia,Dolphins,,
"
Jaelan Phillips",15,LB,6-5,266,22,2,Miami,Dolphins,,
"
Sheldrick Redwine",20,S,6-0,195,25,4,Miami,Dolphins,,
"
Duke Riley",45,LB,6-1,230,27,6,LSU,Dolphins,,
"
Elandon Roberts",52,LB,6-1,238,27,7,Houston,Dolphins,,
"
D'Angelo Ross",,DB,5-9,190,25,2,New Mexico,Dolphins,,
"
Eric Rowe",21,S,6-1,205,29,8,Utah,Dolphins,,
"
Jason Sanders",7,K,5-11,197,26,5,New Mexico,Dolphins,,
"
Brennan Scarlett",57,LB,6-4,263,28,7,Stanford,Dolphins,,
"
Adam Shaheen",80,TE,6-7,257,27,6,Ashland,Dolphins,,
"
Trent Sherfield",,WR,6-1,219,26,5,Vanderbilt,Dolphins,,
"
Zach Sieler",92,DT,6-6,297,26,5,Ferris State,Dolphins,,
"
Kion Smith",76,T,6-5,295,23,1,Fayetteville State University,Dolphins,,
"
Durham Smythe",81,TE,6-6,246,26,5,Notre Dame,Dolphins,,
"
Chris Streveler",,QB,6-1,216,27,3,South Dakota,Dolphins,,
"
Tua Tagovailoa",1,QB,6-1,217,24,3,Alabama,Dolphins,,
"
Andrew Van Ginkel",43,LB,6-4,242,26,4,Wisconsin,Dolphins,,
"
Jaylen Waddle",17,WR,5-10,182,23,2,Alabama,Dolphins,,
"
Christian Wilkins",94,DT,6-4,310,26,4,Clemson,Dolphins,,
"
Trill Williams",6,CB,6-1,205,22,2,Syracuse,Dolphins,,
"
Connor Williams",,OL,6-5,320,24,5,Texas,Dolphins,,
"
Preston Williams",18,WR,6-5,220,25,4,Colorado State,Dolphins,,
"
Cedrick Wilson Jr.",,WR,6-2,200,43,7,Boise State,Dolphins,,
"
Quincy Wilson",,DB,6-2,193,25,6,Florida,Dolphins,,
"
Nelson Agholor",15,WR,6-0,198,28,8,USC,Patriots,,
"
Henry Anderson",94,DL,6-6,301,30,8,Stanford,Patriots,,
"
David Andrews",60,C,6-3,300,29,8,Georgia,Patriots,,
"
Devin Asiasi",86,TE,6-3,257,24,3,UCLA,Patriots,,
"
Jake Bailey",7,P,6-2,205,24,4,Stanford,Patriots,,
"
Christian Barmore",90,DT,6-4,310,22,2,Alabama,Patriots,,
"
Ja'Whaun Bentley",8,LB,6-2,255,25,5,Purdue,Patriots,,
"
Justin Bethel",29,DB,6-0,200,31,11,Presbyterian,Patriots,,
"
Joshuah Bledsoe",34,SAF,5-11,201,25,1,Missouri,Patriots,,
"
Kendrick Bourne",84,WR,6-1,190,26,6,Eastern Washington,Patriots,,
"
Trent Brown",77,OL,6-8,380,29,8,Florida,Patriots,,
"
Myles Bryant",41,DB,5-9,185,24,3,Washington,Patriots,,
"
Malcolm Butler",-,CB,5-11,190,32,8,West Alabama,Patriots,,
"
Yodny Cajuste",72,OL,6-5,310,26,3,West Virginia,Patriots,,
"
Joe Cardona",49,LS,6-3,245,29,8,Navy,Patriots,,
"
Byron Cowart",99,DL,6-3,300,25,4,Maryland,Patriots,,
"
Cody Davis",22,DB,6-2,203,32,10,Texas Tech,Patriots,,
Drew Desjarlais,,OL,6-2,313,24,1,University of Windsor,Patriots,,
"
Kyle Dugger",23,DB,6-2,220,26,3,Lenoir-Rhyne,Patriots,,
"
Yasir Durant",70,G,6-7,330,23,3,Missouri,Patriots,,
"
Daniel Ekuale",95,DT,6-3,305,28,4,Washington State,Patriots,,
"
James Ferentz",65,OL,6-2,300,32,6,Iowa,Patriots,,
"
Nick Folk",6,K,6-1,222,37,15,Arizona,Patriots,,
"
Davon Godchaux",92,DT,6-3,311,27,6,LSU,Patriots,,
"
Lawrence Guy",93,DL,6-4,315,32,12,Arizona State,Patriots,,
"
Terez Hall",59,LB,6-2,235,25,3,Missouri,Patriots,,
Arlington Hambright,,G,6-5,315,26,2,Colorado,Patriots,,
"
Damien Harris",37,RB,5-11,213,25,4,Alabama,Patriots,,
"
N'Keal Harry",1,WR,6-4,225,24,4,Arizona State,Patriots,,
"
Hunter Henry",85,TE,6-5,250,27,7,Arkansas,Patriots,,
"
Justin Herron",75,OL,6-5,305,26,3,Wake Forest,Patriots,,
"
Brian Hoyer",5,QB,6-2,216,36,14,Michigan State,Patriots,,
"
Anfernee Jennings",59,LB,6-3,259,24,3,Alabama,Patriots,,
"
Jonathan Jones",31,DB,5-10,190,28,7,Auburn,Patriots,,
"
Mac Jones",10,QB,6-3,217,23,2,Alabama,Patriots,,
"
Matthew Judon",9,LB,6-3,261,29,7,Grand Valley,Patriots,,
"
Dalton Keene",44,TE,6-4,251,23,3,Virginia Tech,Patriots,,
"
Harvey Langi",52,LB,6-2,250,29,5,Brigham Young,Patriots,,
